resultId,raceId,driverId,constructorId,grid,position,points,laps,time_ms,fastestLap,fastestLapRank,fastestLapTime,statusId
1,1061,830,9,2,1,3,17,1538426,14,3,90000,1
2,1061,1,131,1,2,2,17,1539856,17,1,89900,1
3,1061,822,131,3,3,1,17,1545928,17,2,90000,1
4,1061,844,6,4,4,0,17,1549704,16,4,90200,1
5,1061,846,1,6,5,0,17,1562537,16,5,90600,1
6,1061,817,1,7,6,0,17,1569385,17,6,90600,1
7,1061,4,214,11,7,0,17,1581953,17,9,91800,1
8,1061,20,117,10,8,0,17,1582865,17,8,91700,1
9,1061,847,3,8,9,0,17,1585078,17,15,92200,1
10,1061,839,214,13,10,0,17,1585821,16,14,92200,1
11,1061,832,6,9,11,0,17,1586224,10,10,92000,1
12,1061,842,213,12,12,0,17,1587189,17,11,92100,1
13,1061,8,51,17,13,0,17,1589103,12,12,92100,1
14,1061,840,117,15,14,0,17,1590605,12,16,92200,1
15,1061,841,51,14,15,0,17,1591651,14,18,92500,1
16,1061,852,213,16,16,0,17,1591993,14,17,92300,1
17,1061,849,3,18,17,0,17,1593588,17,13,92100,1
18,1061,854,210,19,18,0,17,1606639,15,19,92600,1
19,1061,853,210,20,19,0,17,1616074,3,20,93500,1
20,1061,815,9,5,20,0,16,\N,6,7,91500,76
21,1065,822,131,1,1,3,18,1674078,9,3,83500,1
22,1065,830,9,3,2,2,18,1676403,9,2,83500,1
23,1065,817,1,5,3,1,18,1688612,17,6,84300,1
24,1065,846,1,4,4,0,18,1692913,9,7,84600,1
25,1065,1,131,2,5,0,18,1694089,9,5,84300,1
26,1065,844,6,8,6,0,18,1697520,18,8,84700,1
27,1065,832,6,7,7,0,18,1702030,8,9,84900,1
28,1065,841,51,10,8,0,18,1705167,10,10,85100,1
29,1065,815,9,9,9,0,18,1705758,12,4,84200,1
30,1065,840,117,12,10,0,18,1712749,8,12,85300,1
31,1065,4,214,13,11,0,18,1713873,8,11,85200,1
32,1065,20,117,11,12,0,18,1715255,8,13,85500,1
33,1065,839,214,14,13,0,18,1717451,8,14,85600,1
34,1065,849,3,16,14,0,18,1720055,9,15,85700,1
35,1065,847,3,15,15,0,18,1720899,15,16,85800,1
36,1065,852,213,17,16,0,18,1724055,18,17,85800,1
37,1065,853,210,20,17,0,18,1736677,7,18,86600,1
38,1065,9,51,19,18,0,18,1739174,12,19,86800,1
39,1065,854,210,18,19,0,18,1740232,7,20,86800,1
40,1065,842,213,6,20,0,0,\N,\N,1,\N,3
41,1071,822,131,2,1,3,24,1749559,8,2,72300,1
42,1071,830,9,1,2,2,24,1750729,9,1,72100,1
43,1071,832,6,5,3,1,24,1768282,13,7,73200,1
44,1071,815,9,3,4,0,24,1769346,13,5,73100,1
45,1071,1,131,20,5,0,24,1770431,5,3,72400,1
46,1071,846,1,7,6,0,24,1772117,8,4,73000,1
47,1071,844,6,6,7,0,24,1774615,4,6,73100,1
48,1071,842,213,4,8,0,24,1783717,4,8,73300,1
49,1071,839,214,10,9,0,24,1784191,11,12,73600,1
50,1071,20,117,11,10,0,24,1784426,5,11,73600,1
51,1071,817,1,8,11,0,24,1785428,9,10,73500,1
52,1071,4,214,9,12,0,24,1786137,4,9,73400,1
53,1071,841,51,14,13,0,24,1791439,11,13,73600,1
54,1071,840,117,15,14,0,24,1793596,9,14,73700,1
55,1071,852,213,12,15,0,24,1795709,11,15,73700,1
56,1071,849,3,16,16,0,24,1796319,7,17,73900,1
57,1071,847,3,17,17,0,24,1797298,14,18,74100,1
58,1071,8,51,13,18,0,24,1799573,9,16,73900,1
59,1071,854,210,18,19,0,24,1811239,9,19,74400,1
60,1071,853,210,19,20,0,24,1817033,6,20,74600,1
61,1077,830,9,1,1,8,21,1839567,14,4,79200,1
62,1077,844,6,2,2,7,21,1842542,11,3,79000,1
63,1077,815,9,7,3,6,21,1844288,14,2,79000,1
64,1077,832,6,10,4,5,21,1857145,14,5,79300,1
65,1077,846,1,3,5,4,21,1864128,9,6,80000,1
66,1077,817,1,6,6,3,21,1867307,12,8,80300,1
67,1077,822,51,8,7,2,21,1867700,9,7,80200,1
68,1077,825,210,4,8,1,21,1870279,6,9,80600,1
69,1077,4,214,5,9,0,21,1871845,10,12,80600,1
70,1077,854,210,12,10,0,21,1873340,15,10,80600,1
71,1077,847,131,11,11,0,21,1875851,19,14,80800,1
72,1077,852,213,16,12,0,21,1877865,20,15,80900,1
73,1077,20,117,9,13,0,21,1879744,8,19,81000,1
74,1077,1,131,13,14,0,21,1881026,9,13,80700,1
75,1077,840,117,15,15,0,21,1882477,14,16,80900,1
76,1077,839,214,19,16,0,21,1883084,14,17,81000,1
77,1077,842,213,17,17,0,21,1883361,18,11,80600,1
78,1077,848,3,20,18,0,21,1888438,14,18,81000,1
79,1077,849,3,18,19,0,21,1891584,16,20,81400,1
80,1077,855,51,0,20,0,0,\N,\N,1,\N,31
81,1084,830,9,1,1,8,23,1590059,5,4,68500,1
82,1084,844,6,2,2,7,23,1591734,4,2,68300,1
83,1084,832,6,3,3,6,23,1595703,4,3,68400,1
84,1084,847,131,4,4,5,23,1603488,4,5,69000,1
85,1084,815,9,13,5,4,23,1608361,14,6,69100,1
86,1084,839,214,5,6,3,23,1621091,4,8,69400,1
87,1084,825,210,6,7,2,23,1624598,4,7,69200,1
88,1084,1,131,9,8,1,23,1625506,7,10,69500,1
89,1084,854,210,7,9,0,23,1627222,4,9,69500,1
90,1084,822,51,12,10,0,23,1627616,4,11,69700,1
91,1084,846,1,15,11,0,23,1628639,8,12,69900,1
92,1084,817,1,16,12,0,23,1629797,8,13,70000,1
93,1084,840,117,17,13,0,23,1638300,4,17,70300,1
94,1084,855,51,18,14,0,23,1640812,11,14,70200,1
95,1084,842,213,10,15,0,23,1642184,4,20,70400,1
96,1084,848,3,11,16,0,23,1642471,5,19,70400,1
97,1084,852,213,14,17,0,23,1644615,4,15,70300,1
98,1084,849,3,19,18,0,23,1658753,4,16,70300,1
99,1084,20,117,20,19,0,21,\N,4,18,70300,130
100,1084,4,214,8,20,0,0,\N,\N,1,\N,10
101,1095,847,131,3,1,8,24,1811307,4,1,74200,1
102,1095,832,6,5,2,7,24,1815302,2,4,74500,1
103,1095,1,131,8,3,6,24,1815799,3,2,74300,1
104,1095,830,9,2,4,5,24,1821801,5,3,74500,1
105,1095,815,9,9,5,4,24,1823162,5,5,74700,1
106,1095,844,6,10,6,3,24,1824440,4,8,75200,1
107,1095,846,1,4,7,2,24,1836931,4,10,75400,1
108,1095,825,210,1,8,1,24,1840075,2,7,75100,1
109,1095,20,117,13,9,0,24,1841525,4,13,75500,1
110,1095,842,213,12,10,0,24,1845477,3,9,75300,1
111,1095,817,1,14,11,0,24,1850702,5,11,75400,1
112,1095,854,210,20,12,0,24,1852466,5,15,75800,1
113,1095,855,51,17,13,0,24,1853070,7,14,75800,1
114,1095,822,51,18,14,0,24,1853645,8,16,76000,1
115,1095,852,213,19,15,0,24,1861613,4,19,76400,1
116,1095,840,117,15,16,0,24,1862007,4,12,75400,1
117,1095,839,214,6,17,0,24,1863063,5,18,76100,1
118,1095,4,214,7,18,0,24,1865292,5,6,74800,1
119,1095,849,3,16,19,0,24,1888157,4,20,76500,1
120,1095,848,3,11,20,0,12,\N,4,17,76000,31
121,1101,815,9,2,1,8,17,1997667,11,3,103600,1
122,1101,844,6,1,2,7,17,2002130,12,4,103600,1
123,1101,830,9,3,3,6,17,2002732,10,5,103700,1
124,1101,847,131,4,4,5,17,2001134,10,7,104400,1
125,1101,832,6,5,5,4,17,2008055,11,6,104400,1
126,1101,4,117,8,6,3,17,2009280,12,9,104500,1
127,1101,1,131,6,7,2,17,2002557,8,10,104600,1
128,1101,840,117,9,8,1,17,2016084,14,12,104900,1
129,1101,848,3,7,9,0,17,2019424,10,13,104900,1
130,1101,857,1,11,10,0,17,2020518,8,11,104800,1
131,1101,825,210,13,11,0,17,2025657,14,15,105300,1
132,1101,855,51,14,12,0,17,2032269,16,16,105800,1
133,1101,842,214,17,13,0,17,2034585,12,18,105900,1
134,1101,856,213,18,14,0,17,2039293,17,17,105800,1
135,1101,807,210,12,15,0,17,2046254,8,19,106000,1
136,1101,822,51,15,16,0,17,2047584,9,20,106300,1
137,1101,846,1,10,17,0,17,2048771,15,8,104500,1
138,1101,839,214,0,18,0,17,2058288,15,14,105100,1
139,1101,852,213,16,19,0,2,\N,\N,1,\N,130
140,1101,858,3,0,20,0,0,\N,\N,1,\N,3
141,1107,830,9,1,1,8,24,1826730,19,12,74300,1
142,1107,815,9,2,2,7,24,1847778,16,15,75500,1
143,1107,832,6,5,3,6,24,1849818,16,14,75500,1
144,1107,840,117,7,4,5,24,1856433,23,17,75500,1
145,1107,4,117,6,5,4,24,1856839,18,13,75000,1
146,1107,807,210,4,6,3,24,1858027,24,1,70200,1
147,1107,839,214,8,7,2,24,1863332,22,16,75500,1
148,1107,847,131,15,8,1,24,1863341,23,3,70400,1
149,1107,846,1,3,9,0,24,1865338,19,18,75600,1
150,1107,1,131,18,10,0,24,1873105,24,6,70800,1
151,1107,857,1,17,11,0,24,1876537,24,2,70300,1
152,1107,844,6,9,12,0,24,1877519,24,5,70700,1
153,1107,848,3,11,13,0,24,1879578,24,9,71600,1
154,1107,825,210,10,14,0,24,1883323,23,4,70500,1
155,1107,842,214,12,15,0,24,1884382,22,19,76100,1
156,1107,852,213,13,16,0,24,1891552,23,8,71400,1
157,1107,856,213,14,17,0,24,1892347,22,10,71700,1
158,1107,858,3,20,18,0,24,1892789,21,11,71800,1
159,1107,855,51,16,19,0,24,1897555,22,7,71300,1
160,1107,822,51,0,20,0,24,1903165,22,20,76800,1
161,1110,830,9,1,1,8,11,1498433,6,2,118900,1
162,1110,857,1,2,2,7,11,1505110,2,3,120400,1
163,1110,842,214,6,3,6,11,1509166,6,6,121900,1
164,1110,832,6,3,4,5,11,1511081,7,5,121500,1
165,1110,844,6,4,5,4,11,1513449,7,11,122600,1
166,1110,846,1,5,6,3,11,1514485,8,9,122100,1
167,1110,1,131,7,7,2,11,1515190,7,4,120900,1
168,1110,847,131,10,8,1,11,1515255,10,7,121900,1
169,1110,839,214,9,9,0,11,1520843,6,13,123100,1
170,1110,817,213,11,10,0,11,1521239,8,12,123000,1
171,1110,840,117,14,11,0,11,1523440,6,14,123400,1
172,1110,848,3,12,12,0,11,1524736,6,18,123700,1
173,1110,822,51,17,13,0,11,1525439,6,17,123600,1
174,1110,825,210,18,14,0,11,1531419,6,19,124000,1
175,1110,855,51,19,15,0,11,1534775,6,20,124800,1
176,1110,858,3,13,16,0,11,1536004,6,16,123500,1
177,1110,807,210,20,17,0,11,1536260,6,15,123500,1
178,1110,852,213,16,18,0,11,1537700,7,8,122100,1
179,1110,815,9,8,19,0,8,\N,2,10,122500,130
180,1110,4,117,15,20,0,2,\N,\N,1,\N,3